
2017-06-19 10:18:27 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/version

2017-06-19 10:18:27 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/location
2017-06-19 10:18:27 INFO | 2 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-19 10:18:27 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/LocationSeat?locationId=2
2017-06-19 10:18:27 INFO | 89 records of type: Seat retrieved by user: CORPORATE\chewang

2017-06-19 10:18:43 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/version

2017-06-19 10:18:43 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/location
2017-06-19 10:18:43 INFO | 2 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-19 10:18:43 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/LocationSeat?locationId=2
2017-06-19 10:18:43 INFO | 89 records of type: Seat retrieved by user: CORPORATE\chewang

2017-06-19 10:18:46 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/version

2017-06-19 10:18:46 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/location
2017-06-19 10:18:46 INFO | 2 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-19 10:18:46 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/LocationSeat?locationId=2
2017-06-19 10:18:46 INFO | 89 records of type: Seat retrieved by user: CORPORATE\chewang

2017-06-19 10:18:52 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/version

2017-06-19 10:18:52 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/location
2017-06-19 10:18:52 INFO | 2 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-19 10:18:52 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/LocationSeat?locationId=2
2017-06-19 10:18:52 INFO | 89 records of type: Seat retrieved by user: CORPORATE\chewang

2017-06-19 10:18:52 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/version

2017-06-19 10:18:52 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/location
2017-06-19 10:18:52 INFO | 2 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-19 10:18:52 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/LocationSeat?locationId=2
2017-06-19 10:18:52 INFO | 89 records of type: Seat retrieved by user: CORPORATE\chewang

2017-06-19 10:19:01 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/version

2017-06-19 10:19:01 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/location
