
2017-06-06 15:36:23 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/Location
2017-06-06 15:36:25 INFO | 1 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-06 15:38:48 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/Employee?email=chewang%40teksystems.com

2017-06-06 15:44:28 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/Employee?email=chewang%40teksystems.com

2017-06-06 15:44:37 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/Location
2017-06-06 15:44:37 INFO | 1 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-06 15:45:38 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/Location
2017-06-06 15:45:39 INFO | 1 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-06 15:54:17 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/Employee?email=chewang%40teksystems.com

2017-06-06 15:54:32 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/Location
2017-06-06 15:54:32 INFO | 1 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-06 15:56:13 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/Location
2017-06-06 15:56:13 INFO | 1 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-06 15:58:46 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/Location
2017-06-06 15:58:47 INFO | 1 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-06 16:03:50 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/Location
2017-06-06 16:03:50 INFO | 1 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-06 16:11:46 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/Location
2017-06-06 16:11:47 INFO | 1 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-06 16:21:35 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/Location
2017-06-06 16:21:36 INFO | 1 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-06 16:22:32 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/Location
2017-06-06 16:22:33 INFO | 1 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-06 16:24:50 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/Location
2017-06-06 16:24:51 INFO | 1 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-06 16:26:33 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/Location
2017-06-06 16:26:34 INFO | 1 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-06 16:35:06 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/Location

2017-06-06 16:35:06 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/Location

2017-06-06 16:35:15 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/Location

2017-06-06 16:35:29 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/Employee?email=chewang%40teksystems.com
