
2017-07-26 09:47:09 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/version


2017-07-26 09:47:10 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/location
2017-07-26 09:47:10 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/SeatChangeLog

2017-07-26 09:47:10 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/employee
2017-07-26 09:47:12 INFO | 2 entities retrieved by user: CORPORATE\chewang
RootType: Location, details: TEK.SeatPlan.Entity.Location

2017-07-26 09:47:12 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/SeatLocation/2

2017-07-26 09:47:12 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/ProjectLocation/2
2017-07-26 09:47:12 INFO | 70 entities retrieved by user: CORPORATE\chewang
RootType: Seat, details: TEK.SeatPlan.Entity.Seat
2017-07-26 09:47:12 INFO | 98 entities retrieved by user: CORPORATE\chewang
RootType: Seat, details: TEK.SeatPlan.Entity.Seat

2017-07-26 09:47:18 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/employee

2017-07-26 09:47:19 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/employee

2017-07-26 09:47:19 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/EmployeeStatus

2017-07-26 09:47:19 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/project
2017-07-26 09:47:19 INFO | Get all project called - find in repo

2017-07-26 09:47:19 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/SeatLocation/0
2017-07-26 09:47:20 INFO | 3 entities retrieved by user: CORPORATE\chewang
RootType: EmployeeStatus, details: TEK.SeatPlan.Entity.EmployeeStatus
2017-07-26 09:47:20 INFO | 206 entities retrieved by user: CORPORATE\chewang
RootType: Seat, details: TEK.SeatPlan.Entity.Seat

2017-07-26 09:49:00 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/project
2017-07-26 09:49:00 INFO | Get all project called - find in repo

2017-07-26 09:49:02 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/project
2017-07-26 09:49:02 INFO | Get all project called - find in repo

2017-07-26 09:49:02 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/employee

2017-07-26 10:07:10 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/project

2017-07-26 10:07:10 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/employee
2017-07-26 10:07:10 INFO | Get all project called - find in repo

2017-07-26 10:07:24 DEBUG| POST:http://localhost/TEK.SeatPlan.WebApi/api/project
2017-07-26 10:07:24 INFO | Project created with Name: AAT5

2017-07-26 10:07:24 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/project
2017-07-26 10:07:25 INFO | Get all project called - find in repo

2017-07-26 10:07:47 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/project
2017-07-26 10:07:47 INFO | Get all project called - find in repo

2017-07-26 10:07:47 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/employee

